RDC Debtors Ledger Excel Report                   ,,,,,,,,,,,,
,,,,,,,,,,,,
Customer Name      :  ,"ELITE CONTRACTORS (CHENNAI) PRIVATE LTD, - VIT",,,,,,,,,,,
Customer Number  : ,138847,,,,,,,,,,,
From Period             : ,01-Apr-24,,,,,,,,,,,
To Period                  : ,31-Mar-25,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Inv/ Receipt Date,Doc Type,Plant Name,Inv / Receipt Number,Ship To Address,Transaction Type,Due Date,GST Inv Number,Document Seq Number,Item Description,Quantity,Tran Dr Amt (Rs),Tran Cr Amt (Rs)
,,Customer Opening Balance,,,,,,,,,"95,07,024.00",0
16-Apr-24,INV,Chennai-2 RMC Plant,2444022,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,16-Apr-24,2CH24ARS524,2.4332E+12,M40 Grade of concrete,6,"38,232.00",0
16-Apr-24,INV,Chennai-Pudupakkam,2444037,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,16-Apr-24,9CH24ARS149,2.43321E+12,M40,7,"44,604.00",0
16-Apr-24,INV,Chennai-2 RMC Plant,2444040,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,16-Apr-24,2CH24ARS525,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
16-Apr-24,INV,Chennai-2 RMC Plant,2444049,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,16-Apr-24,2CH24ARS526,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
16-Apr-24,INV,Chennai-Pudupakkam,2444051,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,16-Apr-24,9CH24ARS150,2.43321E+12,M40,7,"44,604.00",0
16-Apr-24,INV,Chennai-Pudupakkam,2444152,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,16-Apr-24,9CH24ARS151,2.43321E+12,M40,7,"44,604.00",0
16-Apr-24,INV,Chennai-2 RMC Plant,2444179,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,16-Apr-24,2CH24ARS527,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
16-Apr-24,INV,Chennai-2 RMC Plant,2444190,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,16-Apr-24,2CH24ARS528,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
16-Apr-24,INV,Chennai-Pudupakkam,2444983,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,16-Apr-24,9CH24ARS152,2.43321E+12,M40,7,"44,604.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2444234,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS530,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2444246,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS531,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2444259,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS532,2.4332E+12,M40 Grade of concrete,6,"38,232.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2444279,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS533,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2444292,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS534,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
17-Apr-24,INV,Chennai-Pudupakkam,2444306,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,17-Apr-24,9CH24ARS153,2.43321E+12,M40,7,"44,604.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2444312,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS535,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
17-Apr-24,INV,Chennai-Pudupakkam,2444328,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,17-Apr-24,9CH24ARS154,2.43321E+12,M40,7,"44,604.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2445878,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS551,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
17-Apr-24,INV,Chennai-Pudupakkam,2445888,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,17-Apr-24,9CH24ARS160,2.43321E+12,M40,10,"63,720.00",0
17-Apr-24,INV,Chennai-Pudupakkam,2445901,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,17-Apr-24,9CH24ARS161,2.43321E+12,M40,6,"38,232.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2445931,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS552,2.4332E+12,M40 Grade of concrete,1,"6,372.00",0
17-Apr-24,INV,Chennai-Pudupakkam,2445935,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,17-Apr-24,9CH24ARS162,2.43321E+12,M40,9,"57,348.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2445939,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS553,2.4332E+12,M40 Grade of concrete,6,"38,232.00",0
17-Apr-24,INV,Chennai-Pudupakkam,2445943,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,17-Apr-24,9CH24ARS163,2.43321E+12,M40,7,"44,604.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2445948,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS554,2.4332E+12,M40 Grade of concrete,6,"38,232.00",0
17-Apr-24,INV,Chennai-Pudupakkam,2445958,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,17-Apr-24,9CH24ARS164,2.43321E+12,M40,7,"44,604.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2445963,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS555,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
17-Apr-24,INV,Chennai-Pudupakkam,2445968,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,17-Apr-24,9CH24ARS165,2.43321E+12,M40,7,"44,604.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2445973,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS556,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
17-Apr-24,INV,Chennai-Pudupakkam,2445983,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,17-Apr-24,9CH24ARS166,2.43321E+12,M40,7,"44,604.00",0
17-Apr-24,INV,Chennai-3 RMC Plant,2445982,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 3 SI,17-Apr-24,3CH24ARS227,2.4332E+12,M40,7,"44,604.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2445985,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS557,2.4332E+12,M40 Grade of concrete,6,"38,232.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2446003,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS559,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2446014,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS560,2.4332E+12,M40 Grade of concrete,6,"38,232.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2446026,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS561,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
17-Apr-24,INV,Chennai-3 RMC Plant,2446029,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 3 SI,17-Apr-24,3CH24ARS228,2.4332E+12,M40,7,"44,604.00",0
17-Apr-24,INV,Chennai-Pudupakkam,2446036,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,17-Apr-24,9CH24ARS167,2.43321E+12,M40,6,"38,232.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2446039,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS562,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2446052,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS563,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
17-Apr-24,INV,Chennai-Pudupakkam,2446069,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,17-Apr-24,9CH24ARS168,2.43321E+12,M40,10,"63,720.00",0
17-Apr-24,INV,Chennai-Pudupakkam,2446080,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,17-Apr-24,9CH24ARS169,2.43321E+12,M40,6,"38,232.00",0
17-Apr-24,INV,Chennai-1 RMC Plant,2446090,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai SI,17-Apr-24,1CH24ARS531,2.4332E+12,M40,7,"44,604.00",0
17-Apr-24,INV,Chennai-Pudupakkam,2446100,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,17-Apr-24,9CH24ARS170,2.43321E+12,M40,9,"57,348.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2446103,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS564,2.4332E+12,M40 Grade of concrete,6,"38,232.00",0
17-Apr-24,INV,Chennai-3 RMC Plant,2446121,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 3 SI,17-Apr-24,3CH24ARS229,2.4332E+12,M40,9,"57,348.00",0
17-Apr-24,INV,Chennai-Pudupakkam,2446128,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,17-Apr-24,9CH24ARS171,2.43321E+12,M40,7,"44,604.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2446129,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS565,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
17-Apr-24,INV,Chennai-2 RMC Plant,2446142,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,17-Apr-24,2CH24ARS566,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
17-Apr-24,INV,Chennai-Pudupakkam,2446143,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,17-Apr-24,9CH24ARS172,2.43321E+12,M40,7,"44,604.00",0
17-Apr-24,INV,Chennai-1 RMC Plant,2446151,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai SI,17-Apr-24,1CH24ARS533,2.4332E+12,M40,7,"44,604.00",0
